name,japanese_name_romanji,japanese_name_kana,number,prop. male,prop. female,classification,type1,type2,height_in,height_m,weight_lbs,weight_kg,hit_points,attack,defense,sp_att,sp_def,speed,effort_values,wk_normal,wk_fire,wk_water,wk_electric,wk_grass,wk_ice,wk_fighting,wk_poison,wk_ground,wk_flying,wk_psychic,wk_bug,wk_rock,wk_ghost,wk_dragon,wk_dark,wk_steel,wk_fairy
Bulbasaur,Fushigidane,フシギダネ,#001,88,12,Seed Pokémon,Grass,Poison,28,0.7,15.2,6.9,45,49,49,65,65,45,1 Sp. Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Ivysaur,Fushigisou,フシギソウ,#002,88,12,Seed Pokémon,Grass,Poison,39,1.0,28.7,13.0,60,62,63,80,80,60,1 Sp. Attack Point(s)1 Sp. Defense Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Venusaur,Fushigibana,フシギバナ,#003,88,12,Seed Pokémon,Grass,Poison,79,2.0,220.5,100.0,80,82,83,100,100,80,2 Sp. Attack Point(s)1 Sp. Defense Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Charmander,Hitokage,ヒトカゲ,#004,88,12,Lizard Pokémon,Fire,,24,0.6,18.7,8.5,39,52,43,60,50,65,1 Speed Point(s),1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Charmeleon,Lizardo,リザード,#005,88,12,Flame Pokémon,Fire,,43,1.1,41.9,19.0,58,64,58,80,65,80,1 Speed Point(s)1 Sp. Attack Point(s),1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Charizard,Lizardon,リザードン,#006,88,12,Flame Pokémon,Fire,Flying,67,1.7,199.5,90.5,78,84,78,109,85,100,3 Sp. Attack Point(s),1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
Squirtle,Zenigame,ゼニガメ,#007,88,12,Tiny Turtle Pokémon,Water,,20,0.5,19.8,9.0,44,48,65,50,64,43,1 Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Wartortle,Kameil,カメール,#008,88,12,Turtle Pokémon,Water,,39,1.0,49.6,22.5,59,63,80,65,80,58,1 Defense Point(s)1 Sp. Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Blastoise,Kamex,カメックス,#009,88,12,Shellfish Pokémon,Water,,63,1.6,188.5,85.5,79,83,100,85,105,78,3 Sp. Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
,,,#010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekans,Arbo,アーボ,#023,50,50,Snake Pokémon,Poison,,79,2.0,15.2,6.9,35,60,44,40,54,55,1 Attack Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Arbok,Arbok,アーボック,#024,50,50,Cobra Pokémon,Poison,,138,3.5,143.3,65.0,60,95,69,65,79,80,2 Attack Point(s),1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Pikachu,Pikachu,ピカチュウ,#025,50,50,Mouse Pokémon,Electric,,16,0.4,13.2,6.0,35,55,40,50,50,90,2 Speed Point(s),1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Raichu,Raichu,ライチュウ,#026,50,50,Mouse Pokémon,Electric,Electric,31,0.8,66.1,30.0,60,90,55,90,80,110,3 Speed Point(s)Alola Form3 Speed Point(s),1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
Sandshrew,Sand,サンド,#027,50,50,Mouse Pokémon,Ground,Ice,24,0.6,26.5,12.0,50,75,85,20,30,40,1 Defense Point(s)Alola Form1 Defense Point(s),0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
Sandslash,Sandpan,サンドパン,#028,50,50,Mouse Pokémon,Ground,Ice,39,1.0,65.0,29.5,75,100,110,45,55,65,2 Defense Point(s)Alola Form2 Defense Point(s),0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
,,,#029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
