name,japanese_name_romanji,japanese_name_kana,number,prop. male,prop. female,classification,type1,type2,height_in,height_m,weight_lbs,weight_kg,hit_points,attack,defense,sp_att,sp_def,speed,effort_values,wk_normal,wk_fire,wk_water,wk_electric,wk_grass,wk_ice,wk_fighting,wk_poison,wk_ground,wk_flying,wk_psychic,wk_bug,wk_rock,wk_ghost,wk_dragon,wk_dark,wk_steel,wk_fairy
Bulbasaur,Fushigidane,フシギダネ,#001,14,86,Seed Pokémon,Grass,Poison,28,0.7,15.2,6.9,45,49,49,65,65,45,1 Sp. Attack Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Ivysaur,Fushigisou,フシギソウ,#002,14,86,Seed Pokémon,Grass,Poison,39,1.0,28.7,13.0,60,62,63,80,80,60,1 Sp. Attack Point(s)1 Sp. Defense Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Venusaur,Fushigibana,フシギバナ,#003,14,86,Seed Pokémon,Grass,Poison,79,2.0,220.5,100.0,80,82,83,100,100,80,2 Sp. Attack Point(s)1 Sp. Defense Point(s),1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Charmander,Hitokage,ヒトカゲ,#004,14,86,Lizard Pokémon,Fire,,24,0.6,18.7,8.5,39,52,43,60,50,65,1 Speed Point(s),1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Charmeleon,Lizardo,リザード,#005,14,86,Flame Pokémon,Fire,,43,1.1,41.9,19.0,58,64,58,80,65,80,1 Speed Point(s)1 Sp. Attack Point(s),1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Charizard,Lizardon,リザードン,#006,14,86,Flame Pokémon,Fire,Flying,67,1.7,199.5,90.5,78,84,78,109,85,100,3 Sp. Attack Point(s),1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
Squirtle,Zenigame,ゼニガメ,#007,14,86,Tiny Turtle Pokémon,Water,,20,0.5,19.8,9.0,44,48,65,50,64,43,1 Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Wartortle,Kameil,カメール,#008,14,86,Turtle Pokémon,Water,,39,1.0,49.6,22.5,59,63,80,65,80,58,1 Defense Point(s)1 Sp. Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Blastoise,Kamex,カメックス,#009,14,86,Shellfish Pokémon,Water,,63,1.6,188.5,85.5,79,83,100,85,105,78,3 Sp. Defense Point(s),1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Caterpie,Caterpie,キャタピー,#010,2,8,Worm Pokémon,Bug,,12,0.3,6.4,2.9,45,30,35,20,20,45,1 HP Point(s),1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Metapod,Transel,トランセル,#011,2,8,Cocoon Pokémon,Bug,,28,0.7,21.8,9.9,50,20,55,25,25,30,2 Defense Point(s),1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
